136,88,10001000,1000,1000,"ADC A,B",ADC,B,,1,4,Z,0,H,C,Add n + Carry flag to A,,,,
137,89,10001001,1000,1001,"ADC A,C",ADC,C,,1,4,Z,0,H,C,Add n + Carry flag to A,,,,
138,8A,10001010,1000,1010,"ADC A,D",ADC,D,,1,4,Z,0,H,C,Add n + Carry flag to A,,,,
139,8B,10001011,1000,1011,"ADC A,E",ADC,E,,1,4,Z,0,H,C,Add n + Carry flag to A,,,,
140,8C,10001100,1000,1100,"ADC A,H",ADC,H,,1,4,Z,0,H,C,Add n + Carry flag to A,,,,
141,8D,10001101,1000,1101,"ADC A,L",ADC,L,,1,4,Z,0,H,C,Add n + Carry flag to A,,,,
142,8E,10001110,1000,1110,"ADC A,(HL)",ADC,(HL),,1,8,Z,0,H,C,Add n + Carry flag to A,,,,
143,8F,10001111,1000,1111,"ADC A,A",ADC,A,,1,4,Z,0,H,C,Add n + Carry flag to A,,,,
206,CE,11001110,1100,1110,"ADC A,d8",ADC,d8,,2,8,Z,0,H,C,Add n + Carry flag to A,,,,
9,9,1001,0,1001,"ADD HL,BC",ADD,HL,BC,1,8,-,0,H,C,Add n to A,,,,
25,19,11001,1,1001,"ADD HL,DE",ADD,HL,DE,1,8,-,0,H,C,Add n to A,,,,
41,29,101001,10,1001,"ADD HL,HL",ADD,HL,HL,1,8,-,0,H,C,Add n to A,,,,
57,39,111001,11,1001,"ADD HL,SP",ADD,HL,SP,1,8,-,0,H,C,Add n to A,,,,
128,80,10000000,1000,0,"ADD A,B",ADD,A,B,1,4,Z,0,H,C,Add n to A,,,,
129,81,10000001,1000,1,"ADD A,C",ADD,A,C,1,4,Z,0,H,C,Add n to A,,,,
130,82,10000010,1000,10,"ADD A,D",ADD,A,D,1,4,Z,0,H,C,Add n to A,,,,
131,83,10000011,1000,11,"ADD A,E",ADD,A,E,1,4,Z,0,H,C,Add n to A,,,,
132,84,10000100,1000,100,"ADD A,H",ADD,A,H,1,4,Z,0,H,C,Add n to A,,,,
133,85,10000101,1000,101,"ADD A,L",ADD,A,L,1,4,Z,0,H,C,Add n to A,,,,
134,86,10000110,1000,110,"ADD A,(HL)",ADD,A,(HL),1,8,Z,0,H,C,Add n to A,,,,
135,87,10000111,1000,111,"ADD A,A",ADD,A,A,1,4,Z,0,H,C,Add n to A,,,,
198,C6,11000110,1100,110,"ADD A,d8",ADD,A,d8,2,8,Z,0,H,C,Add n to A,,,,
